X;Y;street;category
11.3267527;50.9766071;Humboldtstraße;vandalismus
11.3633439;51.0029203;Dorfstraße;unfall
11.3276438;50.9787017;Schillerstraße;vandalismus
11.3267527;50.9766071;Humboldtstraße;diebstahl
11.3293593;50.9786846;Humboldtstraße;diebstahl
11.3200822;50.9617943;Henry-van-de-Velde-Straße;einbruch
11.3633439;51.0029203;Dorfstraße;vandalismus
11.3293527;50.9821876;Graben;unfall
11.3263522;50.9774667;Schützengasse;diebstahl
11.3264535;50.9789080;Schützengasse;diebstahl
11.3294068;50.9798045;Schützengasse;diebstahl
11.3348275;51.0086361;Ernst-Busse-Straße;unfall
11.3261025;50.9872822;Carl-August-Allee;unfall
11.3293527;50.9821876;Graben;drogenmissbrauch
11.3200495;50.9802959;Erfurter Straße;unfall
11.3272818;50.9757614;Amalienstraße;diebstahl
11.3143136;50.9840682;Schwanseestraße;unfall
11.3209061;50.9907491;Schwanseestraße;unfall
11.3200495;50.9802959;Erfurter Straße;drogenmissbrauch
11.3418614;50.9711596;Dichterweg;diebstahl
11.3291889;50.9808226;Herderplatz;vandalismus
11.329757;50.981215;Herderplatz;vandalismus
11.3293593;50.9786846;Frauentorstraße;vandalismus
11.3253163;50.9801630;Theaterplatz;diebstahl
11.32568;50.979871;Theaterplatz;diebstahl
11.2711980;50.9548996;Bahnhof;körperverletzung
11.3293527;50.9821876;Graben;unfall
11.3256840;50.9828292;Karl-Liebknecht-Straße;unfall
11.3250908;50.9819163;Karl-Liebknecht-Straße;unfall
11.3655032;50.9931983;Hauptstraße;unfall
11.3056621;50.9891702;Kaunaser Straße;unfall
11.3250908;50.9819163;Goetheplatz;vandalismus
11.3047434;50.9867472;Berliner Straße;diebstahl
11.3293527;50.9821876;Graben;unfall
11.3293527;50.9821876;Graben;unfall
11.2711980;50.9548996;Bahnhof;diebstahl
11.3088160;50.9867371;Warschauer Straße;unfall
11.3276438;50.9787017;Schillerstraße;drogenmissbrauch
11.3069221;50.9883866;Straßburger Platz;unfall
11.3143136;50.9840682;Schwanseestraße;unfall
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3267527;50.9766071;Humboldtstraße;unfall
11.3314923;50.9935301;Buttelstedter Straße;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;drogenmissbrauch
11.3276256;50.9736054;Rudolf-Breitscheid-Straße;unfall
11.3109907;50.9891265;Moskauer Straße;drogenmissbrauch
11.3282446;50.9779466;Frauenplan;unfall
11.3314923;50.9935301;Frauenplan;unfall
11.3267527;50.9766071;Frauenplan;unfall
11.3633439;51.0029203;Dorfstraße;unfall
11.3109907;50.9891265;Moskauer Straße;drogenmissbrauch
11.3272818;50.9757614;Amalienstraße;unfall
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3655032;50.9931983;Hauptstraße;diebstahl
11.3655032;50.9931983;Hauptstraße;diebstahl
11.3222558;50.9881586;Röhrstraße;unfall
11.3209061;50.9907491;Fuldaer Straße;unfall
11.3293527;50.9821876;Graben;unfall
11.3293527;50.9821876;Graben;unfall
11.3109907;50.9891265;Moskauer Straße;drogenmissbrauch
11.3263608;50.9914438;Moskauer Straße;drogenmissbrauch
11.3100061;50.9892677;Moskauer Straße;drogenmissbrauch
11.2711980;50.9548996;Bahnhof;diebstahl
11.3342603;50.9897368;Schlachthofstraße;vandalismus
11.3143136;50.9840682;Schwanseestraße;diebstahl
11.3200495;50.9802959;Erfurter Straße;diebstahl
11.3293593;50.9786846;Frauentorstraße;vandalismus
11.3293527;50.9821876;Graben;unfall
11.3210123;50.9786948;Steubenstraße;vandalismus
11.3250908;50.9819163;Goetheplatz;diebstahl
11.3286730;50.9850982;Friedensstraße;vandalismus
11.328813;50.98491;Friedensstraße;vandalismus
11.3291889;50.9808226;Herderplatz;diebstahl
11.329757;50.981215;Herderplatz;diebstahl
11.3276438;50.9787017;Schillerstraße;diebstahl
11.3166160;50.9605911;Berkaer Straße;unfall
11.3633439;51.0029203;Dorfstraße;diebstahl
11.3310009;50.9807044;Schloßgasse;unfall
11.3166160;50.9605911;Berkaer Straße;unfall
11.3166160;50.9605911;Berkaer Straße;diebstahl
11.3200495;50.9802959;Erfurter Straße;diebstahl
11.3143136;50.9840682;Schwanseestraße;unfall
11.3418614;50.9711596;Dichterweg;diebstahl
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3250908;50.9819163;Goetheplatz;körperverletzung
11.3282446;50.9779466;Frauenplan;diebstahl
11.3293593;50.9786846;Frauenplan;diebstahl
11.3293527;50.9821876;Graben;drogenmissbrauch
11.3200348;50.9937295;Ettersburger Straße;diebstahl
11.3309800;50.9873610;Friesstraße;unfall
11.3342603;50.9897368;Friesstraße;unfall
11.3276438;50.9787017;Schillerstraße;diebstahl
11.3253163;50.9801630;Schillerstraße;diebstahl
11.32568;50.979871;Schillerstraße;diebstahl
11.3200495;50.9802959;Erfurter Straße;unfall
11.3200495;50.9802959;Erfurter Straße;unfall
11.3286730;50.9850982;Friedensstraße;vandalismus
11.3227174;50.9860571;Friedensstraße;vandalismus
11.3166160;50.9605911;Berkaer Straße;vandalismus
11.3313179;50.9806379;Burgplatz;körperverletzung
11.3276438;50.9787017;Schillerstraße;drogenmissbrauch
11.3100061;50.9892677;Prager Straße;vandalismus
11.3058685;50.9856682;Budapester Straße;einbruch
11.3267527;50.9766071;Humboldtstraße;unfall
11.3200495;50.9802959;Erfurter Straße;diebstahl
11.328813;50.98491;atrium;unfall
11.2711980;50.9548996;Bahnhof;vandalismus
11.3267527;50.9766071;Humboldtstraße;vandalismus
11.3293527;50.9821876;Graben;unfall
11.3314923;50.9935301;Buttelstedter Straße;unfall
11.3418614;50.9711596;Dichterweg;vandalismus
11.3265161;50.9808807;Geleitstraße;unfall
